HCT116_pH7A	HCT116_pH7B	HCT116_pH7C	HCT116_pH6A	HCT116_pH6B	HCT116_pH6C	Me3pH7A	Me3pH7B	Me3pH6A	Me3pH6B	Me3pH6C	Me3pH7C
ENSG00000005206	39	52	62	114	71	82	45	15	22	32	104	141
ENSG00000005238	52	63	81	226	245	198	157	144	233	295	266	244
ENSG00000005243	1	0	0	1	3	0	65	75	95	97	77	60
ENSG00000005249	312	274	455	199	180	167	994	1317	674	677	803	853
ENSG00000005302	109	142	162	115	149	109	199	216	179	217	200	215
ENSG00000005339	652	494	578	418	499	370	530	452	260	242	302	521
ENSG00000005379	1	2	1	1	5	0	3	0	1	1	1	0
ENSG00000005381	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005421	0	0	0	1	0	0	0	1	0	0	0	0
ENSG00000005436	436	406	499	424	431	459	512	660	532	592	591	508
ENSG00000005448	124	236	244	179	108	151	147	76	137	213	178	179
ENSG00000005469	0	0	0	0	0	1	76	97	162	186	194	86
ENSG00000005471	0	1	1	0	1	0	100	123	246	213	215	125
ENSG00000005483	849	632	791	788	1025	749	420	460	610	494	603	407
ENSG00000005486	98	132	151	183	157	119	58	49	70	95	153	110
ENSG00000005513	21	19	11	39	64	28	4	4	0	0	0	10
ENSG00000005700	1312	1297	1573	1911	1810	1983	1767	2392	1859	2004	1707	1742
ENSG00000005801	855	804	760	637	689	557	550	619	395	398	429	544
ENSG00000005810	2316	1717	1781	1282	1797	1221	995	1076	667	695	592	974
ENSG00000005812	838	842	953	798	777	800	562	692	328	352	345	580
ENSG00000005844	1	0	0	1	2	1	0	0	0	0	0	0
ENSG00000005882	103	182	222	291	255	148	97	58	152	222	275	145
ENSG00000005884	1449	1852	1985	6423	5571	4688	2071	963	1564	2596	3759	3621
ENSG00000005889	981	883	1008	714	752	719	1099	1231	729	730	813	1081
ENSG00000005893	904	786	948	1157	1061	1131	7033	8099	7724	7988	7622	6614
ENSG00000005955	910	820	932	917	910	1043	1040	1198	818	939	927	1011
ENSG00000005961	6	3	6	18	15	15	2	0	6	3	4	4
ENSG00000005981	1	0	1	1	1	8	11	16	0	0	0	16
ENSG00000006007	1043	1003	1012	1073	1307	1040	918	1166	1199	1319	1114	904
ENSG00000006015	56	55	51	58	44	36	21	14	19	23	31	43
ENSG00000006016	19	31	48	86	57	46	0	0	1	0	0	0
ENSG00000006025	91	77	83	279	289	169	26	1	27	60	41	41
ENSG00000006042	126	189	216	220	238	148	33	20	48	57	53	43
ENSG00000006047	1	2	12	23	10	5	23	21	64	58	77	32
ENSG00000006059	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006062	98	160	170	244	215	167	280	131	115	185	384	518
ENSG00000006071	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006074	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006075	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000006114	379	342	477	385	417	379	292	319	313	293	280	290
ENSG00000006116	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006118	168	232	207	498	485	255	201	109	205	289	551	511
ENSG00000006125	3502	2321	3372	3268	3113	4449	2078	2220	2375	2517	1968	1814
ENSG00000006128	0	0	0	0	0	0	10	19	3	6	4	7
ENSG00000006194	667	769	694	660	780	490	559	544	409	529	571	630
ENSG00000006210	0	0	0	0	0	0	8	9	12	23	13	10
ENSG00000006282	131	219	271	496	467	364	225	103	227	363	600	559
ENSG00000006283	5	3	11	13	8	8	1	0	0	1	3	0
ENSG00000006327	384	716	625	1141	686	490	1043	488	422	746	1460	2066
ENSG00000006377	0	0	0	0	0	0	13	19	25	17	20	13
ENSG00000006432	418	395	402	645	658	652	82	77	120	142	148	112
ENSG00000006451	528	617	600	478	437	408	604	721	516	518	495	481
ENSG00000006453	859	913	1160	1722	1857	1622	488	536	620	703	651	587
ENSG00000006459	139	146	209	195	367	296	242	243	277	351	273	232
ENSG00000006468	143	128	288	136	92	139	409	524	185	238	234	385
ENSG00000006530	885	973	957	890	861	762	3468	3608	2492	2605	2444	3271
ENSG00000006534	46	39	79	193	159	161	55	35	110	147	158	72
ENSG00000006555	5	2	7	4	1	0	0	0	0	0	0	0
ENSG00000006576	1104	974	1137	843	517	749	1046	1401	1021	1157	1029	1026
ENSG00000006606	4	3	6	3	4	2	1	1	4	1	0	0
ENSG00000006607	318	300	309	264	242	244	467	460	395	395	410	470
ENSG00000006611	26	32	57	121	154	99	0	0	2	0	0	0
ENSG00000006625	691	669	676	717	578	643	1237	1453	768	920	881	1379
ENSG00000006634	1002	1217	1186	908	604	910	701	973	625	714	591	813
ENSG00000006638	10	13	12	5	10	10	4	10	4	5	5	17
ENSG00000006652	639	785	780	600	824	521	501	602	503	474	508	485
ENSG00000006659	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006695	404	381	405	314	375	340	196	222	175	206	211	190
ENSG00000006704	79	96	145	166	153	127	64	41	50	61	83	74
ENSG00000006712	652	741	823	810	778	750	1028	889	663	895	884	1166
ENSG00000006715	855	752	1087	894	897	873	1032	1311	1339	1283	1392	1065
ENSG00000006740	67	74	55	84	81	64	1	1	3	0	2	1
ENSG00000006744	2055	2319	2572	1842	1949	1456	1526	1058	849	1253	1273	1728
ENSG00000006747	0	1	0	0	5	4	210	222	308	413	288	225
ENSG00000006756	48	43	70	255	401	146	85	91	129	136	122	74
ENSG00000006757	80	116	111	77	86	43	51	57	95	123	126	68
ENSG00000006788	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006831	1533	1593	1947	1500	1482	1511	2913	3366	2785	3145	2788	2927
ENSG00000006837	40	42	65	55	96	56	47	62	56	63	47	46
ENSG00000007001	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000007038	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007047	101	97	122	199	222	215	152	93	137	186	167	177
ENSG00000007062	603	521	542	554	863	587	134	195	82	90	125	141
ENSG00000007080	40	77	93	98	116	61	29	13	7	36	69	80
ENSG00000007129	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007168	2833	2990	2860	2690	2617	2201	2683	3094	2627	2771	2551	2654
ENSG00000007171	0	0	1	3	2	5	3	1	2	4	3	4
ENSG00000007174	0	0	1	0	0	0	165	122	143	142	105	178
ENSG00000007202	4445	4423	4317	3914	4189	3112	5656	4958	3760	4485	4327	5422
ENSG00000007216	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007237	24	18	37	29	76	23	6278	5318	5142	6149	6186	7039
ENSG00000007255	2	3	5	30	21	13	4	2	4	9	22	11
ENSG00000007264	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007306	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007312	0	0	1	4	1	1	0	2	5	3	1	3
ENSG00000007314	0	0	2	3	0	4	7	0	3	6	8	5
ENSG00000007341	242	249	188	231	257	195	133	142	147	141	171	120
ENSG00000007350	0	0	1	0	0	3	899	689	215	300	185	828
ENSG00000007372	23	34	46	96	137	65	0	0	0	0	0	0
ENSG00000007376	51	107	120	169	144	55	47	8	14	42	113	187
ENSG00000007384	18	41	36	100	79	79	211	95	182	302	429	421
ENSG00000007392	330	331	317	281	324	280	621	679	361	386	483	739
ENSG00000007402	63	39	88	116	116	94	0	0	0	1	2	0
ENSG00000007516	19	18	34	107	94	49	3	3	4	12	18	18
ENSG00000007520	41	74	66	110	64	45	58	20	41	49	120	156
ENSG00000007541	11	22	16	47	28	15	84	20	39	73	172	191
ENSG00000007545	144	163	141	159	145	123	120	93	79	86	113	126
ENSG00000007866	164	173	192	287	260	209	33	24	60	93	93	55
ENSG00000007908	0	0	0	0	0	0	26	12	50	48	39	18
ENSG00000007923	1219	1281	1369	1002	851	835	1174	925	715	823	913	1243
ENSG00000007933	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007944	139	118	106	240	206	133	214	231	141	127	141	232
ENSG00000007952	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007968	625	679	718	688	491	304	343	252	285	333	597	419
ENSG00000008018	3055	3742	3904	3041	2553	2873	2038	2365	1837	2312	2035	2274
ENSG00000008056	1	2	0	1	4	1	1	1	6	9	8	3
ENSG00000008083	242	237	355	681	923	658	443	453	694	716	665	501
ENSG00000008086	26	23	25	29	33	21	0	0	1	3	4	2
ENSG00000008118	0	0	0	0	0	0	0	1	0	1	0	0
ENSG00000008128	15	16	8	15	16	8	6	3	9	4	8	9
ENSG00000008130	316	371	431	520	496	316	193	106	124	248	362	390
ENSG00000008196	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008197	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008226	0	1	1	16	46	7	0	0	0	2	0	2
ENSG00000008256	215	269	321	385	404	288	533	528	522	533	698	885
ENSG00000008277	274	217	234	242	245	216	48	44	76	63	48	45
ENSG00000008282	878	640	916	640	607	660	1266	1435	776	892	865	973
ENSG00000008283	399	486	574	589	497	366	296	247	265	388	441	463
ENSG00000008294	2585	2500	2883	3895	4006	4203	3832	4366	3860	4215	3795	3567
ENSG00000008300	52	74	64	131	171	93	29	18	77	92	67	54
ENSG00000008311	47	41	37	74	43	57	42	46	116	133	88	42
ENSG00000008323	51	82	115	207	245	115	1	0	0	0	0	0
ENSG00000008324	220	219	195	117	89	123	195	225	99	125	111	173
ENSG00000008382	14	34	46	95	81	53	9	4	13	25	39	23
ENSG00000008394	857	758	919	1008	1640	1174	1	0	6	8	3	1
ENSG00000008405	388	242	376	424	572	424	365	400	338	449	301	361
ENSG00000008438	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008441	89	107	123	165	157	97	23	13	27	26	45	35
ENSG00000008513	424	456	394	645	922	542	1214	1043	1334	1651	1529	1345
ENSG00000008516	6	1	2	10	13	2	0	0	0	0	0	0
ENSG00000008517	0	0	0	4	8	2	15	14	20	43	36	46
ENSG00000008710	82	135	107	214	126	93	65	22	20	77	194	189
ENSG00000008735	11	24	15	19	16	5	1	2	4	4	5	0
ENSG00000008838	535	711	742	803	576	539	457	310	270	415	503	619
ENSG00000008853	74	92	111	112	155	74	168	64	71	145	181	211
ENSG00000008869	452	464	455	660	802	735	545	625	662	745	745	532
ENSG00000008952	1189	788	1032	599	511	944	3407	4098	2660	2627	2794	3109
ENSG00000008988	7169	8653	9429	7748	8786	7781	13430	15567	9932	13275	11267	15075
ENSG00000009307	12301	12742	14343	10524	10996	12295	11803	14008	9428	10460	9593	11022
ENSG00000009335	2909	3270	3356	3676	3785	3210	4167	4145	2782	3334	3594	4509
ENSG00000009413	1249	991	1203	1134	1174	1099	2596	3197	2352	2565	2428	2359
ENSG00000009694	0	0	0	0	0	0	6	6	7	10	3	3
ENSG00000009709	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000009724	0	0	2	3	0	0	1	0	0	0	1	3
ENSG00000009765	0	0	0	1	2	1	0	0	0	0	0	0
ENSG00000009780	148	152	197	213	176	198	164	139	184	182	158	143
ENSG00000009790	0	0	0	0	0	0	2	6	0	4	1	6
ENSG00000009830	287	300	272	193	171	180	272	229	188	193	251	307
ENSG00000009844	1726	1784	2014	1653	1609	1624	1844	2364	1357	1520	1356	1777
ENSG00000009950	35	34	36	165	107	86	0	0	0	1	2	0
ENSG00000009954	4603	4791	5188	3843	3868	3486	3751	4061	3425	3737	4093	3543
ENSG00000010017	1088	1045	1204	1088	867	1152	841	960	902	877	848	736
ENSG00000010030	1	1	5	30	27	11	0	1	14	13	6	1
ENSG00000010072	352	358	330	317	249	295	522	542	284	336	354	558
ENSG00000010165	556	751	700	514	609	297	733	632	342	447	494	805
ENSG00000010219	127	183	152	103	118	138	75	60	97	104	100	98
ENSG00000010244	3568	3405	3628	2721	3511	2501	2446	2542	1575	1645	1742	2570
ENSG00000010256	880	1359	1961	2259	1823	1562	1267	645	958	1753	1890	1910
ENSG00000010270	386	450	503	415	441	406	1325	1715	1048	1116	919	1274
ENSG00000010278	879	967	1079	2017	2230	1947	824	817	844	1101	1444	798
ENSG00000010282	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000010292	3925	4473	4970	4091	1981	3845	4896	4401	2042	2913	2407	5391
ENSG00000010295	1	1	1	2	1	1	116	71	75	139	164	157
ENSG00000010310	15	11	15	51	93	48	1	1	11	5	5	1
ENSG00000010318	57	50	45	100	79	92	202	172	133	146	137	189
ENSG00000010319	15	18	22	30	25	17	3	2	3	6	4	3
ENSG00000010322	439	497	581	640	549	572	412	255	358	467	618	598
ENSG00000010327	1	0	0	3	6	0	0	0	0	0	1	0
ENSG00000010361	0	4	2	4	5	3	72	55	44	71	78	84
ENSG00000010379	5	0	0	9	13	10	0	2	3	2	5	0
ENSG00000010404	452	281	453	793	833	806	177	192	403	375	439	155
ENSG00000010438	137	160	236	375	397	243	0	0	0	0	0	0
ENSG00000010539	260	261	264	261	307	237	403	435	320	344	371	391
ENSG00000010610	0	0	0	0	1	2	0	1	0	0	3	1
ENSG00000010626	33	46	65	64	63	62	59	48	140	155	98	71
ENSG00000010671	0	0	0	2	0	0	0	0	0	0	0	0
ENSG00000010704	89	120	155	72	59	117	0	0	0	0	0	0
ENSG00000010803	321	322	336	307	221	292	228	197	252	248	253	233
ENSG00000010810	91	111	95	170	239	119	612	673	572	502	389	656
ENSG00000010818	316	222	367	555	918	643	887	842	939	1068	1034	781
ENSG00000010932	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011007	1919	2375	1949	1393	1322	1160	2414	2343	1756	2302	2076	2557
ENSG00000011009	62	163	146	308	223	132	68	37	48	96	280	248
ENSG00000011021	88	78	87	85	62	76	70	49	76	87	93	80
ENSG00000011028	7	19	32	80	45	35	170	60	79	157	285	446
ENSG00000011052	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011083	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011105	59	101	103	175	189	115	29	20	65	105	104	71
ENSG00000011114	858	737	909	728	927	783	419	464	334	347	294	423
ENSG00000011132	34	35	31	88	67	50	18	9	9	24	48	58
ENSG00000011143	246	285	305	340	271	266	172	117	132	220	223	202
ENSG00000011198	458	490	464	463	558	344	521	599	528	606	584	474
ENSG00000011201	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011243	532	591	719	874	1091	744	293	248	339	464	477	400
ENSG00000011258	752	635	828	694	1026	832	188	158	128	152	119	128
ENSG00000011260	1994	2304	2252	1811	1908	1807	1245	1642	938	1092	1055	1243
ENSG00000011275	1062	1022	1197	1065	1223	1055	933	869	645	693	883	1084
ENSG00000011295	1218	1179	1088	2389	2653	2234	551	665	619	599	589	416
ENSG00000011304	2072	2981	3017	2617	1786	1730	1577	922	662	1090	1581	2734
ENSG00000011332	22	42	35	49	26	24	35	21	9	25	20	29
ENSG00000011347	206	220	277	339	390	197	0	1	0	2	5	0
ENSG00000011376	644	801	888	616	562	576	627	503	572	767	696	686
ENSG00000011405	1961	1616	1963	1643	2034	1794	1203	1480	1329	1329	1333	1188
ENSG00000011422	238	296	362	948	843	818	1769	938	585	1168	1563	2564
ENSG00000011426	5944	6826	7264	9162	4418	8169	13153	14921	5759	7098	6338	12372
ENSG00000011451	70	74	96	83	99	40	46	24	19	27	51	86
ENSG00000011454	771	712	793	900	1109	1006	485	643	688	797	641	487
ENSG00000011465	0	0	0	0	0	0	2	0	2	7	0	1
ENSG00000011478	50	68	87	116	144	109	105	52	86	141	154	152
ENSG00000011485	694	924	1034	834	692	645	858	676	438	698	813	1299
ENSG00000011523	222	265	375	451	462	319	50	37	84	90	126	73
ENSG00000011566	861	895	912	814	976	876	1014	1348	1241	1333	1172	1002
ENSG00000011590	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011600	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011638	152	172	186	260	275	230	1161	1044	1222	1933	1511	1075
ENSG00000011677	0	0	0	2	0	0	63	58	110	114	82	42
ENSG00000012048	1790	1360	1781	1500	1279	1332	2029	2278	1351	1507	1579	1888
ENSG00000012061	319	453	706	961	865	700	680	453	461	712	1001	1061
ENSG00000012124	19	11	42	67	58	66	274	179	168	269	230	351
ENSG00000012171	11	16	15	153	130	112	252	161	308	381	684	691
ENSG00000012174	385	254	336	160	168	148	534	527	339	278	311	366
ENSG00000012211	61	81	70	151	173	72	26	14	32	50	63	22
ENSG00000012223	0	0	0	1	0	1	0	0	0	0	0	0
ENSG00000012232	822	952	986	1364	998	973	1486	1150	958	1397	1716	1816
ENSG00000012504	0	0	0	0	3	0	0	2	2	1	1	1
ENSG00000012660	1314	1066	969	888	938	982	3952	4544	2748	2621	2899	3524
ENSG00000012779	3	6	7	29	35	31	0	0	0	0	0	0
ENSG00000012817	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000012822	133	151	194	442	587	468	119	125	439	610	469	160
ENSG00000012963	825	767	855	802	556	583	572	651	422	404	488	604
ENSG00000012983	1009	858	989	814	951	1063	901	1030	744	685	767	799
ENSG00000013016	0	0	0	0	0	0	521	436	494	649	659	723
ENSG00000013275	2188	3123	2449	1955	1749	1393	2413	1855	1684	2312	2389	3151
ENSG00000013288	143	136	216	307	271	272	122	128	230	297	539	247
ENSG00000013293	0	0	0	0	0	0	0	0	1	0	1	0
ENSG00000013297	0	2	0	0	0	0	259	313	253	401	175	318
ENSG00000013306	742	1244	1430	2230	1548	1164	324	129	238	445	849	940
ENSG00000013364	168	267	435	1575	1362	690	312	108	303	695	1509	890
ENSG00000013374	599	581	760	871	1096	877	677	761	962	1187	1159	730
ENSG00000013375	1045	1107	1399	1689	2015	1917	2788	3535	2729	2973	2506	2952
ENSG00000013392	61	71	90	127	160	149	70	85	113	140	121	80
ENSG00000013441	833	866	846	671	925	891	338	317	245	277	347	356
ENSG00000013503	376	337	411	187	233	208	282	347	163	166	169	305
ENSG00000013523	271	262	339	480	500	393	97	86	141	169	150	122
ENSG00000013561	833	864	952	919	915	939	991	1339	979	1029	1080	1007
ENSG00000013563	59	55	107	320	333	234	459	374	659	848	1002	676
ENSG00000013573	928	1239	1140	1525	1338	933	708	466	394	601	793	1128
ENSG00000013583	62	46	104	65	49	73	72	59	51	66	71	68
ENSG00000013588	3596	3214	4086	6854	8754	8290	3958	2773	7601	9158	7461	3767
ENSG00000013619	58	65	62	68	60	60	8	5	34	28	35	10
ENSG00000013725	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000013810	240	360	444	530	308	286	305	215	123	253	379	622
ENSG00000014123	766	667	808	715	836	1134	517	591	570	676	563	425
ENSG00000014138	530	487	667	640	471	430	587	649	501	517	566	577
ENSG00000014164	41	69	78	114	70	56	17	4	11	20	52	99
ENSG00000014216	715	1187	1395	3040	2161	1668	230	113	209	352	637	464
ENSG00000014257	0	2	0	3	0	1	9	3	16	17	23	1
ENSG00000014641	3150	3318	3706	3512	3083	3770	2280	2893	2768	3064	2511	2314
ENSG00000014824	1322	1276	1742	1328	1112	1515	1807	2322	2024	2123	2093	1838
ENSG00000014914	128	121	143	225	251	219	73	85	121	130	130	103
ENSG00000014919	1673	1626	1791	1163	1034	1214	473	531	527	689	579	486
ENSG00000015133	199	201	239	294	302	215	173	118	144	228	320	221
ENSG00000015153	217	221	289	258	258	246	195	208	216	218	219	175
ENSG00000015171	1324	1304	1394	1334	1365	1057	1161	1411	1276	1226	1281	1133
ENSG00000015285	0	2	0	2	1	1	2	0	1	2	9	7
ENSG00000015413	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000015475	361	388	414	413	420	302	0	0	0	0	0	0
ENSG00000015479	9500	10652	10655	8464	8862	8169	8393	10050	5959	6399	6238	8169
ENSG00000015520	0	0	0	4	6	3	1	0	0	0	0	0
ENSG00000015532	139	163	210	318	288	220	317	112	189	408	691	742
ENSG00000015568	3	47	73	83	6	55	97	45	62	17	22	53
ENSG00000015592	0	0	0	0	2	0	0	0	0	0	0	0
ENSG00000015676	865	897	1233	958	819	948	1013	754	637	856	861	1031
ENSG00000016082	23	32	29	40	14	19	159	213	86	87	96	188
ENSG00000016391	201	194	193	250	280	163	0	1	0	0	0	0
ENSG00000016402	13	9	12	51	49	39	1	0	0	0	0	2
ENSG00000016490	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000016602	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000016864	609	588	620	664	606	755	882	1158	1013	1041	901	898
ENSG00000017260	2031	1668	1808	1270	1480	1343	4707	5437	3857	4197	3983	4441
ENSG00000017373	10	13	21	35	25	12	6	5	6	12	19	9
ENSG00000017427	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000017483	501	603	489	524	419	264	1	0	1	1	0	1
ENSG00000017621	8	3	5	4	9	2	0	1	1	2	7	6
ENSG00000017797	936	1123	1483	1241	1286	1409	1393	1452	1419	1828	1651	1550
ENSG00000018189	324	263	320	625	719	670	333	366	440	425	345	325
ENSG00000018236	17	28	21	147	151	97	17	26	53	32	45	13
ENSG00000018280	1	1	1	0	2	0	0	0	0	1	0	2
ENSG00000018408	1177	892	1133	1322	1420	1364	3743	5083	6086	4795	5403	3826
ENSG00000018510	2072	1876	1806	1964	1965	2059	2315	3054	2331	2336	2426	2375
ENSG00000018607	0	0	0	0	0	0	1	0	0	3	0	0
ENSG00000018610	506	658	581	399	411	336	338	373	263	348	290	339
ENSG00000018625	0	0	0	0	2	0	0	4	0	0	0	3
ENSG00000018699	631	643	759	744	893	820	593	639	586	651	562	587
ENSG00000018869	0	0	0	0	0	0	37	34	30	35	50	33
